huruf,kata,idiom,arti_idiom,contoh_kalimat
a,anak,anak kemarin,belum berpengalaman; belum berpengetahuan,tentu saja dia menang sebab lawannya Cuma anak kemarin
a,anak,menganak sungai,"banyak sekali mengalir (tentang keringat, darah)",baru berjalan dua kilo meter peluhnya sudah menganak sungai
a,anak,anak tangga,peringkat dalam suatu prestasi atau kepandaian,dia menduduki anak tangga ketiga dalam lomba baca puisi
a,anak,anak uang,uang yang harus dibayarkan dalam jumlah tertentu dalam meminjam uang,"jangankan pinjamannya, anak uangnya pun tidak dapat ku bayar"
a,anggap,dianggap angin,tidak diperdulikan atau diperhatikan,segala nasihat guru itu dianggap angin belaka
a,anggap,menganggap enteng,"menyangka mudah untuk mengalahkan (menyelesaikan, mengatasi)",jangan menganggap enteng lawanmu itu!
a,anggar,beranggar lidah,berbantah; bertengkar,tidak baik beranggar lidah seperti itu kepada ayahmu
a,anggar,beranggar pikiran,berdiskusi atau berdebat mengenai suatu hal,beranggar pikiran secara benar sangat besar manfaatnya
a,angguk,menganggukan kepala,setuju; sepakat,segalanya akan beres kalu kita sudah menganggukan kepala
a,angin,angin baik,kesempatan baik,dia mendapatkan angin baik untuk bekerja disana
a,angin,berangin kabar,terdengar atau tersiar berita,sudah berangin kabar bahwa Tuti segera menikah
a,angin,angin lalu,tidak berarti apa-apa,kini semua itu hanyalah angin lalu
a,angkat,mengangkat alis,menyatakan keheranan; merasa takjub,dia mengangkat alis ketika mendengar berita itu
a,angkat,mengangkat bahu,menyatakan tidak tahu,dia hanya mengangkat bahu ketika ditanya mengenai kebenaran berita itu
a,angkat,angkat bicara,berbicara; berpendapat; berpidato,warga mulai angkat bicara mengenai masalah kebersihan
a,angkat,mengangkat diri,angkuh; sombong; berlagak,banyak yang tidak suka dengannya karena dia suka mengangkat diri
a,angkat,mengangkat ekor,pergi dengan segera,baru saja digertakdia sudah mengangkat ekor
a,angkat,mengangkat gelas,minum bersama untuk menyatakan keselamatan,hadirin diminta berdiri untuk mengangkat gelas bersama
a,angkat,mengangkat hidung,pongah; sombong; membanggakan diri,jangan mengangkat hidung dulu sebelum hasil kerjamu bagus
a,angkat,angkat kaki,pergi; lari,dia bergegas angkat kaki dari rumah itu
a,angkat,mengangkat kening,merasa heran,kami mengangkat kening melihat tingkah anak itu
a,angkat,mengangkat mata,menentang,saya tidak berani mengangkat mata padanya
a,angkat,mengangkat senjata,berperang; melawan,kami siap mengangkat senjata untuk mempertahankan negara ini
a,angkat,mengangkat suara,berbicara; berpidatao,saya diminta mengangkat suara dalam pertemuan itu
a,angkat,angkat tangan,1. menyerah kalah; 2.tidak mau ikut campur; 3. melepaskan diri dari tanggung jawab,1. sekali gerak mereka sudah angkat tangan; 2. saya angkat tangan atas masalah keluargamu; 3. kamu tidak boleh angkat tangan begitu saja dalam mengurus anakmu
a,angkat,angkat topi,menyatakan hormat,saya angkat topi dengan sikapmu itu
a,angsur,mengangsur langkah,pergi dengan diam-diam; pergi tanpa pamit,dia mengangsur langkah ketika orang sedang sibuk
a,angus,angus hati,marah; kesal,angus hatiku melihat dia memukul adikmu
a,angus,menganguskan hati,menimbulkan kemarahan,tidakannya itu menganguskan hati banyak orang
a,anjing,anjing geladak,penjahat; pencoleng,"hati-hati kalau bawa uang, disana banyak anjing geladak"
a,anjur,menganjur langkah,memulai pekerjaan,kami belum mau menganjur langkah kalau belum diizinkan
a,antar,mengantar nyawa,datang untuk mati,kalau kau kesana sekarang sama saja dengan mengantar nyawa
a,antuk,terantuk dompet,mendapat rezeki yang tidak disangka,kiranya dia baru terantuk dompet sehingga bisa membeli sepeda baru
a,antuk,terantuk kerikil,mendapatkan kecelakaan (kesulitan) karena hal-hal kecil,baru terantuk kerikil saja dia sudah mengeluh
a,apotek,apotek hidup,kebun atau halaman rumah yang ditanami berbagai macam tanaman obat-obatan,halaman rumahnya sudah menjadi apotek hidup
a,asah,mengasah budi,"memperbaiki tingkah laku (sifat, tindakan)",kita harus mengasah budi anak itu sebaik-baiknya
a,asah,mengasah hati,membuat orang jadi marah,sengaja dia mengganden tanganku untuk mengasah hati mantan suaminya
a,asah,mengasah otak,berlatih untuk mempertajam pikiran (kecerdasan),kita dapat mengasah otak kapan dan dimanapun
a,asak,mengasak kaji,memindahkan pokok pembicaraan,dia saja mengasak kaji untuk menghindari pertengkaran
a,asam,asam garam,"pengalaman hidup seperti kesenangan, kesedihan dan kesusahan",sebagai orang tua sudah banyak merasakan asam garam kehidupan
a,asam,mengasami hati,menyakiti hati; menyakiti perasaan,"janganlah kau mengasami hati anak itu lagi, dia sudah cukup menderita"
a,asin,asin mulut,selalu terbukti apa yang dikatakannya,
a,asap,asap hitam,keadaan yang tidak baik (yang menyusahkan atau menyedihkan),asap hitam melingkupi kehidupan penduduk desa itu
a,atap,beratap langit,sangat miskin; tidak punya tempat tinggal,di Jakarta banyak terdapat orang yang beratap langit
a,atap,beratap seng,sudah tua,meskipun sudah beratap seng tetapi dia masih gagah
a,ayam,ayam jago,pemberani; pahlawan,Sultan Hasanudin adalah ayam jago dari Indonesia Timur
a,ayam,ayam sayur,lemah; penakut,dia pasti menang sebab lawannya Cuma ayam sayur
a,ayun,seayun sebuaian,sepaham; sependapat,kita semua sudah seayun sebuaian mengenai keputusan itu
a,ayun,mengayun langkah,1. berangkat; 2. memulai suatu pekerjaan,1. sebelum matahari terbit kami sudah mengayun langkah; 2. minggu depan kami akan mengayun langkah membuka ladang baru
b,babi,membabi buta,melakukan suatu tindakan dengan nekad saja,tembakan yang membabi buta itu menewaskan banyak orang
b,badan,berbadan dua,hamil; mengandung,"kalau sedang berbadan dua, kamu harus berjalan dengan hati-hati"
b,badan,berbadan sampiran,apa saja yang dipakai selalu pantas,anak yang berbadan sampiran itu terlihat selalu rapi
b,bahu,bahu membahu,saling menolong; bekerja sama,sesaman kita harus selalu bahu membahu
b,baik,baik budi,memliki tingkah laku yang baik,anak yang baik budi banyak temannya
b,baik,baik hati,bertingkah laku baik,"kalau kamu baik hati, tentu akan memiliki banyak teman"
b,baik,baik pasarannya,mudah terjual; sangat laku; laris,sekarang barang-barang kerajinan sedang baik pasarannya
b,baik,berbaik sangka,"tidak punya perasaan buruk (takut, waswas dan sebagainya) terhadap seseorang atau suatu hal",dia selalu berbaik sangka terhadap siapa saja
b,bajing,bajing loncat,pencoleng yang beroperasi di jalan-jalan raya,barang dalam truk itu habis digerayangi bajing loncat
b,baju,baju hijau,terntara; anggota tentara,dia berani berbuat seperti itu karena kakaknya baju hijau
b,baju,berbaju hitam,dalam keadaan berduka cita,hati-hatilah berbicara kepada mereka yang sedang berbaju hitam
b,bakar,membakar air,mengejek orang yang permintaannya tidak dikabulkan,"jangan membakar air, nanti mereka marah"
b,bakar,membakar hati,"membuat orang marah (jengkel, cemburu, kesal dan sebagainya)",segala tingkah lakunya telah membakar hati ayahnya
b,bakar,membakar semangat,membuat orang menjadi semangat melakukan pekerjaan,perkataan darinya telah membakar semangat anak itu
b,balas,membalas budi,melakukan kebaikan sebagai balasan terhadap kebaikan yang telah dilakukan orang lain,aku bersedia melakukan apa saja untuk membalas budinya
b,balas,membalas guna,melakukan kebaikan sebagai balasan terhadap kebaikan yang telah dilakukan orang lain,kita harus membalas guna kepada orang yang telah membantu kita dulu
b,balas,balas jasa,imbalan atas sesuatu yang telah dikerjakan,pahlawan sejati tidak menuntut balas jasa apa pun
b,balik,berbalik akal,gila; tidak waras,dia menjadi berbalik akal setelah perampokan itu
b,balik,membalik belakang,berkhianat; memihak kepada musuh,sebagian dari anggotanya telah membalik belakang
b,balik,berbalik hati,berubah pendirian (pendapat),aku tidak akan berbalik hati dalam perkara itu
b,balik,terbalik kalang,1. tidak tahu bagaimana mengatasi suatu masalah; 2. berlainan pendapat,1. menghadapi persoalan itu aku benar-benar terbalik kalang; 2. dalam perkara itu kami memang terbalik kalang
b,balik,berbalik kata,mengingkari apa yang telah dikatakan,"dulu dia mengatakan mau, tetapi kini dia berbalik kata"
b,balik,berbalik lidah,mengingkari yang telah disepakati,dulu dia setuju kini malah berbalik lidah
b,balik,balik mata,"membiarkan orang berbuat jahat (dengan berpura-pura tidak tahu, dan sebagainya)","karena takut kepada orang-orang itu, maka dia balik mata saja"
b,balik,terbalik mata,terlalu lama (menunggu),sudah terbalik mataku tetapi dia belum muncul juga
b,balik,membalik mayat,menyebut-nyebut lagi kesalahan atau keaiban orang yang sudah meninggal,jangan kau membalik mayat lagi
b,balik,berbalik muka,memihak kepada musuh,biar bagaimanapun aku tidak akan berbalik muka
b,balik,membalikkan senjata,memihak kepada musuh,karena tidak tahan menderita akhirnya dia membalikkan senjata
b,ban,ban serap,orang yang selalu menjadi pengganti,dia hanya menjadi ban serap dalam tim sepak bola itu
b,bangkit,bangkit hati,timbul keberanian,bangkit hatinya setelah tau banyak yang mendukungnya
b,bangkit,bangkit semangt,menjadi bersemangat untuk melakuka sesuatu,"mendengar nasihat itu, bangkit semangat untuk belajar"
b,bangunan,bangunan liar,bangunan yang didirikan tanpa izin,semua bangunan liar di sepanjang sungai itu akan dibongkar
b,banjir,banjir darah,banyak yang terluka atau meninggal (karena perkelahian atau perperangan),kalau polisi tidak datang pasti akan terjadi banjir darah disitu
b,bantal,berbantal lengan,tidak mempunyai tempat tinggal,di desa rumahnya besar tapi di kota dia berbantal lengan
b,bantal,berbantal tanah,sudah meninggal,ayahnya sudah berbantal tanah sejak dia berumur 3 tahun
b,banting,banting harga,menjual dengan harga murah,kalau banyak saingan saya akan banting harga
b,banting,banting setir,"mengubah haluan pikiran (pendapat, pekerjaan dan sebagainya)","dulu dia guru, lalu banting setir menjadi pedagang"
b,banting,membanting tulang,bekerja keras,dia membanting tulang siang dam malam untuk menghidupi keluarganya
b,banting,membanting harga,menjual dengan harga murah,kalau banyak saingan saya akan membanting harga
b,banting,membanting setir,"mengubah haluan pikiran (pendapat, pekerjaan dan sebagainya)","dulu dia guru, lalu membanting setir menjadi pedagang"
b,banyak,berbanyak hati,bimbang atau ragu-ragu,"katakanlah setuju atau tidak, jangan berbanyak hati"
b,banyak,banyak mata,suka menggoda wanita,meskipun sudah tua dia masih banyak mata
b,banyak,banyak minyaknya,"banyak ilmunya (pengrtahuannya, pengalamannya, kepandaiannya)",sukar melawan orang yang banyak minyaknya itu
b,banyak,banyak mulut,suka membantah; cerewet,"di depan dia jangan banyak mulut, turuti saja apa katanya!"
b,banyak,banyak tingkah,seringkali menjengkelkan; rewel,"anak itu memang banyak tingkah, sukar dinasihati"
b,barang,barang gelap,"barang yang tidak sah pemilikannya, seperti hasil curian, seludupan dan sebagainya",dia ditangkap polisi karena membeli barang gelap
b,baru,baru koma,sesuatu yang belum selesai,"urusan itu baru koma, nanti kita selesaikan"
b,baru,baru melek,baru mengerti (paham); baru sadar,dia baru melek setelah berkali-kali dijelaskan
b,barut,membarut muka,berbuat sesuatu yang membuat diri sendiri terhina,janganlah kamu membarut muka sendiri!
b,basah,membasahi bibir,sekedar menghilangkan rasa haus,di kedai itu barangkali kita bisa membasahi bibir
b,basah,membasahi kerongkongan,menghilangkan rasa haus,air ini cukup untuk membasahi kerongkongan
b,batang,batang hidung,diri; wujud orang,"dari pagi batang hidungnya belum terlihat, entah kemana dia"
b,batang,sebatang kacang,seorang diri; tidak bersanak saudara,saya hanya sebatang kacang di dunia ini
b,batang,sebatang kara,seorang diri; tidak bersanak saudara,saya hanya sebatang karadi dunia ini
b,batang,batang tubuh,bagian isi yang utama,
b,bau,bau bawang,belum berpengalaman,anak yang masih bau bawang itu mana mungkin bisa mengalahkan saya
b,bau,bau kencur,masih muda atau masih kanak-kanak dan belum berpengalaman,Nita adalah pegawai yang masih bau kencur dalam perusaan itu
b,bau,bau malaikat,sangat harum,
b,bau,bau tanah,hampir meninggal karena sudah tau,"kamu sudah bau tanah, maka ingatlah kepada Tuhan"
b,belah,membelah betung,kurang adil dalam memutuskan perkara,hakim yang suka membelah betung itu diprotes orang banyak
b,belah,membelah bumi,riuh sekali,sorak-sorai penonton membelah bumi di tengah pertandingan sepak bola itu
b,belah,belahan hati,kekasih; orang yang dicintai atau disayangi,dia telah menjadi belahan hatiku
b,belah,belahan jiwa,kekasih; orang yang dicintai atau disayangi,dia telah menjadi belahan jiwaku
b,belah,belahan nyawa,kekasih; orang yang dicintai atau disayangi,dia telah menjadi belahan nyawaku
b,belah,sebelah mata,"orang yang tidak dianggap (diremehkan, diaragukan)",Andi selalu dipandang sebelah mata oleh rekan-rekannya
b,belenggu,membelenggu hati,tidak dapat berbuat apa-apa karena sangat tertarik  atau terpikat,pandangannya sangat membelenggu hatiku
b,belok,berbelok pikiran,berubah pendapat (pandangan),berbelok pikiran tidak apa-apa jika memang perlu
b,belok,membelokkan hati,memberi petunjuk (ke arah yang benar),semoga Tuhan membelokkan hatinya ke jalan yang benar
b,benang,benang kusut,persoalan yang sangat rumit dan sulit diatasi,masalah yang kuhadapi ini sudah menjadi benang kusut
b,benang,benang merah,sesuatu yang menghubungkan berbagai hal sehingga menjadi satu kesatuan,akhirnya aku menemukan benang merang dalam perkara itu
b,bendar,berbendar langit,sangat tergantung pada orang lain,dulu hidupku benar-benar berbendar langit
b,bengkak,bengkak kening,sudah terkenal dengan kejahatannya,orang yang bengkak kening itu selalu dijauhi banyak orang
b,bengkok,bengkok akal,tidak dapat dipercaya,hati-hati bergaul dengan anak yang bengkok akal itu
b,bengkok,bengkok hati,tidak jujur; apa yang diucapkan tidak sesuai dengan yang ada dalam hati,Budi telah menjadi orang yang bengkok hati
b,bentang,membentangkan sayap,"memperluas kekuasaan (usaha dagang, dan sebagainya)","setelah menduduki Birma, Jepang terus membentangkan sayap ke Asia Tenggara"
b,berani,berani lalat,tampaknya berani tapi sebenarnya takut,"dia cuma berani lalat, baru digertak sudah lari"
b,berat,berat akal,,
b,berat,berat ekor,,
b,berat,berat bibir,,
b,berat,berat hati,,
b,berat,berat kaki,,
b,berat,berat kepala,,
b,berat,berat lidah,,
b,berat,berat mata,,
b,berat,berat mulut,,
b,berat,berat otak,,
b,berat,memberatkan pikiran,,
b,berat,berat pinggul,,
b,berat,berat rezeki,,
b,berat,berat sebelah,,
b,berat,berat siku,,
b,berat,berat tangan,,
b,buah,buah bibir,bahan pembicaraan,Rusmi jadi buah bibir setelah menjuarai lomba lari 100 meter tingkat nasional.
g,gulung,gulung tikar,bangkrut,Gara-gara pandemi covid-19 usaha Doyok harus gulung tikar.
j,jago,jago merah,api/kebakaran,Kios di Pasar Senen rusak akibat dilahap si jago merah.
k,kabar,kabar burung,informasi yang belum pasti kebenarannya,"i zaman digitalisasi ini, banyak sekali kabar burung yang beredar di media sosial."
t,tinggi,tinggi hati,sombog,Orang yang tinggi hati biasanya akan susah mendapatkan teman.
p,panjang,panjang tangan,suka mencuri,Budi memiliki sifat panjang tangan sehingga kerap keluar masuk penjara.
r,rendah,rendah hati,"berprilaku baik, ramah",Jadilah orang yang rendah hati meski memiliki banyak kelebihan.
d,darah,darah daging,anak kandung,Seorang ibu akan selalu menyayangi darah dagingnya.
g,gigit,gigit jari,kecewa,Para petani terpaksa gigit jari karena gagal panen.
k,kepala,kepala dingin,sabar dan tenang,
p,panas,panas hati,marah; kesal,
g,gaji,gaji buta,,
m,meja,meja hijau,pengadilan,Kasus perseteruan itu akhirnya dibawa ke meja hijau.
d,darah,darah biru,bangsawan,
m,muka,bermuka dua,Orang yang tidak dapat dipercaya,
k,kambing,kambing hitam,sasaran kesalahan,
l,lintah,lintah darat,rentenir,
b,buah,buah tangan,oleh-oleh,
n,naik,naik pitam,marah; kesal,
b,bunga,bunga desa,,
